code,description,level,parent_code
1,A T I V O,1,
1.1,A T I V O C I R C U L A N T E,2,1
1.1.01,Disponibilidades,3,1.1
1.1.01.01,Caixa,4,1.1.01
1.1.01.02,Bancos Conta Movimento,4,1.1.01
1.1.01.03,Aplicações Financeiras,4,1.1.01
1.1.02,Créditos a Receber,3,1.1
1.1.02.01,Adiantamentos a Fornecedores,4,1.1.02
1.1.02.02,Adiantamentos a Entidades,4,1.1.02
1.1.02.03,Adiantamentos a Colaboradores (as),4,1.1.02
1.1.02.04,Adiantamentos a Departamentos e Pastorais,4,1.1.02
1.1.02.05,Despesas Antecipadas,4,1.1.02
1.1.02.06,Outros Adiantamentos/Créditos,4,1.1.02
1.1.03,Estoque de Materiais,3,1.1
1.1.03.01,Materiais Próprios/Religiosos,4,1.1.03
1.1.03.02,Produtos Recebidos em Doação,4,1.1.03
1.1.03.03,Almoxarifado / Material de Expediente,4,1.1.03
1.2,A T I V O N Ã O C I R C U L A N T E,2,1
1.2.01,Realizável a Longo Prazo,3,1.2
1.2.01.01,Aplicações Financeiras LP,4,1.2.01
1.2.01.02,Adiantamento a Entidades LP,4,1.2.01
1.2.01.03,Fundos a Receber,4,1.2.01
1.2.01.04,Depositos Judiciais,4,1.2.01
1.2.02,Investimentos,3,1.2
1.2.02.01,Investimentos Permanentes,4,1.2.02
1.2.03,Imobilizado,3,1.2
1.2.03.01,Imóveis/Terrenos,4,1.2.03
1.2.03.02,(-) Depreciação Acumulada Imóveis,4,1.2.03
1.2.03.03,Móveis e Utensílios,4,1.2.03
1.2.03.04,(-) Depreciação Acumulada Móveis e Utensílios,4,1.2.03
1.2.03.05,Máquinas e Equipamentos,4,1.2.03
1.2.03.06,(-) Depreciação de Máquinas e Equipamentos,4,1.2.03
1.2.03.07,Equipamentos de Informática,4,1.2.03
1.2.03.08,(-) Depreciação Acumulada Equipamentos de Informática,4,1.2.03
1.2.03.09,Veículos,4,1.2.03
1.2.03.10,(-) Depreciação Acumulada Veículos,4,1.2.03
1.2.04,Intangível,3,1.2
1.2.04.01,Marcas e Patentes,4,1.2.04
1.2.04.02,Licenças e Softwares,4,1.2.04
1.2.04.03,(-) Amortização Acumulada,4,1.2.04
2,P A S S I V O,1,
2.1,P A S S I V O C I R C U L A N T E,2,2
2.1.01,Credores em Conta Corrente,3,2.1
2.1.01.01,Subsistência Ministerial a Pagar,4,2.1.01
2.1.01.02,Reserva Ministerial a Pagar,4,2.1.01
2.1.01.03,Salários/Ordenados a Pagar,4,2.1.01
2.1.01.04,13º Salário a Pagar,4,2.1.01
2.1.01.05,Férias a Pagar,4,2.1.01
2.1.01.06,Fornecedores a Pagar,4,2.1.01
2.1.01.07,Créditos Bancários a Classificar,4,2.1.01
2.1.01.08,Promoções/Festas/Eventos,4,2.1.01
2.1.02,Obrigações Fiscais,3,2.1
2.1.02.01,INSS a Recolher,4,2.1.02
2.1.02.02,IRRF a Recolher,4,2.1.02
2.1.02.03,FGTS a Recolher,4,2.1.02
2.1.02.04,PIS s/Folha a Recolher,4,2.1.02
2.1.02.05,Outros Impostos a Recolher,4,2.1.02
2.1.02.06,Contribuição Sindical/Assistencial a Recolher,4,2.1.02
2.1.03,Ofertas/Doações/Contribuições a Distribuir,3,2.1
2.1.03.01,Ofertas e Doações Locais a Distribuir,4,2.1.03
2.1.03.02,Ofertas Sinodais a Distribuir,4,2.1.03
2.1.03.03,Ofertas Nacionais a Distribuir,4,2.1.03
2.1.03.04,Campanha Tema do Ano,4,2.1.03
2.1.03.05,Campanha Vai e Vem,4,2.1.03
2.1.03.06,Outras Campanhas,4,2.1.03
2.1.03.07,Contribuições a Repassar,4,2.1.03
2.1.04,Provisões,3,2.1
2.1.04.01,Provisão Férias,4,2.1.04
2.1.04.02,Provisão 13º Salários,4,2.1.04
2.1.04.03,Provisão Encargos Sociais,4,2.1.04
2.1.04.04,Provisão para Indenizações Trabalhistas,4,2.1.04
2.1.05,Empréstimos a Pagar,3,2.1
2.1.05.01,Fundo de Empréstimos a pagar,4,2.1.05
2.1.05.02,(-) Fundo de Empréstimos,4,2.1.05
2.1.05.03,Emprestimos Diversos a Pagar Curto Prazo,4,2.1.05
2.2,P A S S I V O N Ã O C I R C U L A N T E,2,2
2.2.01,Exigibilidades a Longo Prazo,3,2.2
2.2.01.01,Empréstimos e Financiamentos a Pagar LP,4,2.2.01
2.2.01.02,Fundo Seguridade,4,2.2.01
2.2.01.03,Fundo de Solidariedade dos Sínodos - FSS,4,2.2.01
2.2.01.04,Fundo para Troca Veículo,4,2.2.01
2.2.01.05,Fundo para Investimento Patrimonial,4,2.2.01
